[31-Dec-2020 04:57:04 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
[31-Dec-2020 04:57:04 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 16
[31-Dec-2020 04:58:15 UTC] PHP Warning:  Use of undefined constant QMENU_ASSETS_PATH - assumed 'QMENU_ASSETS_PATH' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 04:58:15 UTC] PHP Warning:  require_once(QMENU_ASSETS_PATHtemplate/qmenu_template.php): failed to open stream: No such file or directory in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 04:58:15 UTC] PHP Fatal error:  require_once(): Failed opening required 'QMENU_ASSETS_PATHtemplate/qmenu_template.php' (include_path='C:\xampp\php\PEAR') in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:01:20 UTC] PHP Warning:  Use of undefined constant QMENU_ASSETS_PATH - assumed 'QMENU_ASSETS_PATH' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:01:20 UTC] PHP Warning:  require_once(QMENU_ASSETS_PATHtemplate/qmenu_template.php): failed to open stream: No such file or directory in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:01:20 UTC] PHP Fatal error:  require_once(): Failed opening required 'QMENU_ASSETS_PATHtemplate/qmenu_template.php' (include_path='C:\xampp\php\PEAR') in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:02:34 UTC] PHP Warning:  Use of undefined constant QMENU_ASSETS_PATH - assumed 'QMENU_ASSETS_PATH' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:02:34 UTC] PHP Warning:  require_once(QMENU_ASSETS_PATHtemplate/qmenu_template.php): failed to open stream: No such file or directory in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:02:34 UTC] PHP Fatal error:  require_once(): Failed opening required 'QMENU_ASSETS_PATHtemplate/qmenu_template.php' (include_path='C:\xampp\php\PEAR') in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\inc\class-qmenu.php on line 56
[31-Dec-2020 05:06:35 UTC] PHP Warning:  Use of undefined constant QMENU_ASSETS_PATH - assumed 'QMENU_ASSETS_PATH' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\Qmenu\template\shortcode.php on line 2
[31-Dec-2020 05:07:06 UTC] PHP Notice:  Undefined index: before widget in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 53
[31-Dec-2020 05:07:06 UTC] PHP Warning:  Use of undefined constant ‘after_widget’ - assumed '‘after_widget’' (this will throw an Error in a future version of PHP) in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:07:06 UTC] PHP Notice:  Undefined index: ‘after_widget’ in E:\webdocs\alecaddplugin\wp-content\plugins\AlecaddPlugin\inc\Api\Widgets\MediaWidget.php on line 62
[31-Dec-2020 05:07:06 UTC] PHP Notice:  Undefined variable: tel in E:\webdocs\alecaddplugin\wp-content\plugins\zalo-chat-box\inc\pages\front-end.php on line 12
